j行 I列 value_mean
1 12 2.45555195E-05
1 12 2.45555195E-05
1 13 3.2153835E-05
1 15 2.2551425E-05
1 16 0.000024676
1 16 0.000024676
1 33 1.9283876E-05
1 34 3.33362722E-05
1 34 3.33362722E-05
1 34 3.33362722E-05
1 34 3.33362722E-05
1 34 3.33362722E-05
1 35 0.000033321
1 35 0.000033321
1 35 0.000033321
1 35 0.000033321
1 35 0.000033321
1 35 0.000033321
1 36 3.74313175E-05
1 36 3.74313175E-05
1 37 3.35413721428571E-05
1 37 3.35413721428571E-05
1 37 3.35413721428571E-05
1 37 3.35413721428571E-05
1 37 3.35413721428571E-05
1 37 3.35413721428571E-05
1 37 3.35413721428571E-05
1 38 3.3899356E-05
1 38 3.3899356E-05
1 38 3.3899356E-05
1 38 3.3899356E-05
1 38 3.3899356E-05
1 38 3.3899356E-05
1 38 3.3899356E-05
1 38 3.3899356E-05
1 39 3.9330132E-05
1 39 3.9330132E-05
1 39 3.9330132E-05
1 40 4.4424214E-05
1 40 4.4424214E-05
1 40 4.4424214E-05
1 40 4.4424214E-05
1 40 4.4424214E-05
1 40 4.4424214E-05
1 40 4.4424214E-05
1 40 4.4424214E-05
1 41 4.18573334285714E-05
1 41 4.18573334285714E-05
1 41 4.18573334285714E-05
1 41 4.18573334285714E-05
1 41 4.18573334285714E-05
1 41 4.18573334285714E-05
1 41 4.18573334285714E-05
1 42 4.69798648333333E-05
1 42 4.69798648333333E-05
1 42 4.69798648333333E-05
1 42 4.69798648333333E-05
1 42 4.69798648333333E-05
1 42 4.69798648333333E-05
1 43 4.42902145555556E-05
1 43 4.42902145555556E-05
1 43 4.42902145555556E-05
1 43 4.42902145555556E-05
1 43 4.42902145555556E-05
1 43 4.42902145555556E-05
1 43 4.42902145555556E-05
1 43 4.42902145555556E-05
1 43 4.42902145555556E-05
1 44 5.8200930125E-05
1 44 5.8200930125E-05
1 44 5.8200930125E-05
1 44 5.8200930125E-05
1 44 5.8200930125E-05
1 44 5.8200930125E-05
1 44 5.8200930125E-05
1 44 5.8200930125E-05
1 45 4.83736308333333E-05
1 45 4.83736308333333E-05
1 45 4.83736308333333E-05
1 45 4.83736308333333E-05
1 45 4.83736308333333E-05
1 45 4.83736308333333E-05
1 46 4.5497675375E-05
1 46 4.5497675375E-05
1 46 4.5497675375E-05
1 46 4.5497675375E-05
1 46 4.5497675375E-05
1 46 4.5497675375E-05
1 46 4.5497675375E-05
1 46 4.5497675375E-05
1 47 4.66726138888889E-05
1 47 4.66726138888889E-05
1 47 4.66726138888889E-05
1 47 4.66726138888889E-05
1 47 4.66726138888889E-05
1 47 4.66726138888889E-05
1 47 4.66726138888889E-05
1 47 4.66726138888889E-05
1 47 4.66726138888889E-05
1 48 5.3180633E-05
1 48 5.3180633E-05
1 48 5.3180633E-05
1 48 5.3180633E-05
1 48 5.3180633E-05
1 49 6.28672685E-05
1 49 6.28672685E-05
1 49 6.28672685E-05
1 49 6.28672685E-05
1 49 6.28672685E-05
1 49 6.28672685E-05
1 50 6.2495159E-05
1 50 6.2495159E-05
1 50 6.2495159E-05
1 50 6.2495159E-05
1 51 0.000058402
1 51 0.000058402
1 51 0.000058402
1 51 0.000058402
1 51 0.000058402
1 51 0.000058402
1 51 0.000058402
1 51 0.000058402
1 52 6.3202644E-05
1 52 6.3202644E-05
1 52 6.3202644E-05
1 52 6.3202644E-05
1 52 6.3202644E-05
1 52 6.3202644E-05
1 53 5.601765425E-05
1 53 5.601765425E-05
1 53 5.601765425E-05
1 53 5.601765425E-05
